# Client: PowClient
# Tasks: 10000
# Format: task_input | result

pow(3.395576, -0.054698) = 0.935320
pow(-2.732846, -1.924794) = -nan
pow(-2.209241, 2.380529) = -nan
pow(0.515640, -2.428262) = 4.994577
pow(2.093859, 0.166001) = 1.130518
pow(-3.226757, 1.522147) = -nan
pow(3.064004, 0.797836) = 2.443314
pow(-3.657865, 0.726041) = -nan
pow(1.207585, 1.804785) = 1.405542
pow(-1.105871, 2.995581) = -nan
pow(3.304863, 1.088246) = 3.672541
pow(4.899528, 2.384381) = 44.217107
pow(1.148500, -1.343513) = 0.830258
pow(0.357861, 2.093006) = 0.116392
pow(3.142008, -0.967574) = 0.330305
pow(-3.254404, -2.551267) = -nan
pow(-3.083579, 2.684995) = -nan
pow(-4.947887, -1.088523) = -nan
pow(2.255443, 2.960258) = 11.108548
pow(-3.777581, -2.165776) = -nan
pow(2.512265, 0.482369) = 1.559478
pow(-0.443977, 1.407385) = -nan
pow(-2.578175, -0.021900) = -nan
pow(1.109618, 1.610236) = 1.182333
pow(-0.686126, 1.623566) = -nan
pow(-0.221905, -2.020923) = -nan
pow(4.631968, 1.716509) = 13.892884
pow(1.063731, 1.402243) = 1.090498
pow(3.984409, 0.710008) = 2.668475
pow(1.257249, -0.879739) = 0.817589
pow(-4.260990, -1.460688) = -nan
pow(2.620105, -0.789204) = 0.467586
pow(0.761427, -2.689212) = 2.081259
pow(-1.561972, -0.536838) = -nan
pow(2.557603, 2.324929) = 8.875303
pow(4.828761, 0.542638) = 2.350040
pow(-2.102472, 2.080961) = -nan
pow(2.695103, 2.632384) = 13.596898
pow(1.120645, -1.687670) = 0.825115
pow(1.376332, 0.649009) = 1.230361
pow(1.468147, -2.443712) = 0.391258
pow(-4.667139, -1.883039) = -nan
pow(4.937592, -1.045106) = 0.188453
pow(4.993704, 0.599165) = 2.621020
pow(3.993620, -1.035281) = 0.238461
pow(-0.397099, 1.271675) = -nan
pow(1.813578, 2.333874) = 4.012276
pow(1.878428, 2.894419) = 6.201207
pow(-1.704809, 2.895302) = -nan
pow(-3.085469, -0.148379) = -nan
pow(-0.041265, 1.358620) = -nan
pow(1.408800, -2.222885) = 0.466794
pow(-2.744436, -0.190676) = -nan
pow(-4.376960, -1.097766) = -nan
pow(1.405033, -1.688520) = 0.563156
pow(-1.805864, 2.647774) = -nan
pow(-3.507391, -0.712673) = -nan
pow(3.958082, 2.975840) = 59.981755
pow(3.926922, -1.661593) = 0.103021
pow(-4.798454, 2.281236) = -nan
pow(1.804860, -1.449372) = 0.424930
pow(-3.159788, 2.034362) = -nan
pow(2.869206, 2.968598) = 22.851288
pow(-2.893755, -2.497616) = -nan
pow(1.288639, -2.842657) = 0.486334
pow(1.850399, 2.565299) = 4.848592
pow(2.138162, -1.161655) = 0.413625
pow(2.660704, 1.557921) = 4.593155
pow(0.657304, -2.777271) = 3.207103
pow(-4.816035, -1.994587) = -nan
pow(-4.477998, -0.618951) = -nan
pow(-2.633521, -1.455214) = -nan
pow(-4.231922, -1.244354) = -nan
pow(-2.959131, 2.182038) = -nan
pow(2.561505, 1.313187) = 3.438988
pow(0.737116, 0.804399) = 0.782431
pow(-0.350606, 2.801996) = -nan
pow(-4.831482, -2.506655) = -nan
pow(-3.666809, 2.066517) = -nan
pow(1.548380, -2.606378) = 0.319969
pow(-3.837619, -2.899512) = -nan
pow(0.682980, -2.141513) = 2.262650
pow(2.608887, -0.965960) = 0.396023
pow(4.493504, 1.280925) = 6.853506
pow(3.145160, 0.160177) = 1.201464
pow(0.890353, -0.949838) = 1.116625
pow(-1.655196, 0.606285) = -nan
pow(4.084200, 2.439000) = 30.937819
pow(-2.486398, 1.388019) = -nan
pow(-1.143436, -2.224569) = -nan
pow(-4.573728, -0.276056) = -nan
pow(-0.990200, -2.600628) = -nan
pow(-2.349937, -1.783709) = -nan
pow(1.813590, 1.448477) = 2.368580
pow(0.418395, -2.369751) = 7.884000
pow(-1.006931, -0.668654) = -nan
pow(-0.344783, -2.407630) = -nan
pow(-0.024836, -1.745421) = -nan
pow(-2.629850, 2.999243) = -nan
pow(-2.624682, -1.099558) = -nan
pow(-4.548751, -1.692483) = -nan
pow(0.031578, 2.144877) = 0.000604
pow(-4.192175, -0.559599) = -nan
pow(0.377240, -2.677409) = 13.600897
pow(-3.967354, -0.093897) = -nan
pow(0.784369, 2.368927) = 0.562505
pow(-3.609177, 0.084134) = -nan
pow(1.968176, -0.073411) = 0.951508
pow(1.869095, 2.507931) = 4.799907
pow(0.845477, -1.367668) = 1.258057
pow(-3.128816, 2.615194) = -nan
pow(-4.045508, 0.915622) = -nan
pow(-3.680522, 0.414366) = -nan
pow(1.365378, 1.747235) = 1.723132
pow(0.895434, 1.111679) = 0.884457
pow(-3.208207, -1.797509) = -nan
pow(1.770951, 2.847563) = 5.090773
pow(-3.116985, 1.553761) = -nan
pow(-4.113258, -0.415757) = -nan
pow(-0.323820, -0.194751) = -nan
pow(-4.405451, 1.798128) = -nan
pow(3.468012, 0.119895) = 1.160788
pow(4.070875, 1.876876) = 13.941475
pow(4.353758, 2.544229) = 42.210201
pow(-0.967668, -2.485424) = -nan
pow(-4.859453, 0.733127) = -nan
pow(-3.588339, -1.190032) = -nan
pow(-1.712383, -2.147659) = -nan
pow(3.410218, -1.343261) = 0.192457
pow(1.956156, -0.104948) = 0.932004
pow(4.919673, 0.546330) = 2.387953
pow(3.513554, 1.148063) = 4.232058
pow(3.194377, 0.534046) = 1.859368
pow(2.566493, 0.603051) = 1.765441
pow(-1.358366, -1.998668) = -nan
pow(-1.512238, 2.255360) = -nan
pow(0.555815, 0.279936) = 0.848392
pow(1.242679, 1.412308) = 1.359139
pow(3.001297, -1.531023) = 0.185879
pow(-3.232763, -0.789477) = -nan
pow(2.060397, -2.500590) = 0.164035
pow(3.640218, -1.158540) = 0.223827
pow(1.969546, -2.422975) = 0.193534
pow(-4.623757, 2.912191) = -nan
pow(-1.825194, 0.061644) = -nan
pow(-1.426311, 1.781102) = -nan
pow(4.553150, -0.967988) = 0.230548
pow(2.608636, -0.594140) = 0.565708
pow(3.981569, 2.181367) = 20.367529
pow(3.835915, -1.442747) = 0.143756
pow(-4.752138, -1.200346) = -nan
pow(3.395133, 0.572271) = 2.012770
pow(3.920032, 0.280609) = 1.467176
pow(-0.240900, -2.510014) = -nan
pow(-0.667074, -0.185026) = -nan
pow(2.550830, 0.851541) = 2.219759
pow(2.090971, -1.186012) = 0.416930
pow(1.101836, -1.169484) = 0.892781
pow(0.668762, -0.441741) = 1.194496
pow(-2.300671, -0.469359) = -nan
pow(2.246146, 0.088423) = 1.074176
pow(-1.656459, 2.431864) = -nan
pow(-2.947544, -0.664251) = -nan
pow(-1.197231, -0.678873) = -nan
pow(-1.716262, 2.636688) = -nan
pow(-1.420535, 2.331790) = -nan
pow(-4.340559, 2.652364) = -nan
pow(-1.778451, 0.772045) = -nan
pow(-2.672638, -1.922627) = -nan
pow(3.476965, 1.673772) = 8.050930
pow(2.512662, 1.857808) = 5.538250
pow(-4.196169, 2.254933) = -nan
pow(1.802724, -0.909662) = 0.585047
pow(-4.308047, 2.353375) = -nan
pow(3.290427, -0.968906) = 0.315378
pow(3.893047, -0.636862) = 0.420792
pow(1.122433, 1.832208) = 1.235675
pow(3.620543, -0.554509) = 0.489954
pow(-4.685449, 2.192977) = -nan
pow(1.332455, -0.234045) = 0.935030
pow(1.160379, 2.246773) = 1.396823
pow(3.788836, 1.969504) = 13.783813
pow(1.825213, 1.633255) = 2.671725
pow(2.033572, 1.937526) = 3.956041
pow(2.687528, 0.247015) = 1.276606
pow(3.373107, -1.792986) = 0.113044
pow(-0.522735, -1.985754) = -nan
pow(3.730998, -0.240371) = 0.728702
pow(-3.012660, 1.988089) = -nan
pow(-2.311405, 1.692324) = -nan
pow(-0.088995, -0.289248) = -nan
pow(4.476389, 1.375082) = 7.853785
pow(-2.297627, 2.783945) = -nan
pow(-3.241776, 2.609858) = -nan
pow(-3.033598, 1.846158) = -nan
pow(-3.052483, 1.806795) = -nan
pow(1.158295, 1.927975) = 1.327521
pow(-2.143409, -2.490465) = -nan
pow(2.729417, 0.074651) = 1.077837
pow(-0.756046, -2.676073) = -nan
pow(-2.666790, -0.459768) = -nan
pow(-0.196661, -2.193216) = -nan
pow(0.086341, -0.145980) = 1.429851
pow(-1.848268, 2.029003) = -nan
pow(3.903186, 0.945914) = 3.626033
pow(0.004127, -1.274301) = 1092.484156
pow(-0.192327, -1.741014) = -nan
pow(3.689395, 1.734393) = 9.623275
pow(-3.735731, 1.031259) = -nan
pow(3.068717, 0.163879) = 1.201716
pow(-3.167727, 1.541493) = -nan
pow(0.104166, -0.789174) = 5.959160
pow(-1.057599, 2.091446) = -nan
pow(-2.823947, 0.148657) = -nan
pow(-2.962428, 2.504635) = -nan
pow(-1.749980, -1.727367) = -nan
pow(-2.372286, -2.153993) = -nan
pow(3.407363, 1.753627) = 8.583478
pow(-3.100009, -1.365710) = -nan
pow(-2.439474, -0.135876) = -nan
pow(1.827451, 2.020783) = 3.381688
pow(4.988371, -2.621981) = 0.014790
pow(-2.913077, -1.045243) = -nan
pow(4.813075, -1.614684) = 0.079087
pow(0.158523, 2.176310) = 0.018162
pow(1.072923, -2.817718) = 0.820100
pow(-4.986798, -0.752745) = -nan
pow(-3.825750, -0.041574) = -nan
pow(0.488327, 2.356536) = 0.184686
pow(4.162865, 2.854933) = 58.657516
pow(-4.299347, 0.868624) = -nan
pow(-2.215757, -1.598167) = -nan
pow(0.509080, -0.013881) = 1.009416
pow(4.353763, -1.145364) = 0.185467
pow(-0.392791, 1.351594) = -nan
pow(1.239389, 0.677797) = 1.156580
pow(4.176284, -2.144588) = 0.046630
pow(4.404505, 0.070588) = 1.110328
pow(3.561949, -1.433069) = 0.161955
pow(-2.481051, -2.892351) = -nan
pow(-4.974980, 1.448279) = -nan
pow(0.957406, 2.073397) = 0.913702
pow(-0.842024, 2.725636) = -nan
pow(3.291446, -0.610449) = 0.483239
pow(0.914795, 2.188820) = 0.822897
pow(4.882974, 1.747861) = 15.985447
pow(-0.928027, -1.229588) = -nan
pow(-4.189377, -0.944952) = -nan
pow(-0.269939, 1.354484) = -nan
pow(4.162645, -2.824687) = 0.017802
pow(-4.064869, 2.083356) = -nan
pow(1.253422, -2.585947) = 0.557604
pow(4.721508, 2.332657) = 37.359352
pow(-4.437847, -0.169203) = -nan
pow(-2.039292, 2.746077) = -nan
pow(-2.678042, -2.515197) = -nan
pow(4.821045, 0.729009) = 3.147867
pow(3.497116, 2.502998) = 22.956470
pow(2.362713, -0.676236) = 0.559096
pow(-4.470736, -1.095348) = -nan
pow(4.790344, -1.328506) = 0.124775
pow(-3.636682, 1.622967) = -nan
pow(-2.664710, -0.365374) = -nan
pow(-1.112873, -2.246533) = -nan
pow(1.632227, -0.416247) = 0.815513
pow(4.683036, -1.579154) = 0.087324
pow(1.999413, 0.283348) = 1.216915
pow(-2.708708, 1.935959) = -nan
pow(-4.170288, 1.846850) = -nan
pow(3.869206, -1.154448) = 0.209711
pow(0.198928, 1.434060) = 0.098693
pow(3.737457, -0.611986) = 0.446264
pow(4.238506, 0.393274) = 1.764682
pow(3.765974, 1.121311) = 4.423209
pow(-2.446781, 1.501988) = -nan
pow(0.818200, -2.403379) = 1.619691
pow(0.488993, 1.566268) = 0.326111
pow(1.797082, 1.369062) = 2.231102
pow(3.027707, 1.714230) = 6.679440
pow(-3.453959, -0.206651) = -nan
pow(3.250208, 1.533923) = 6.098629
pow(3.330429, 2.403318) = 18.019140
pow(4.217177, 0.965267) = 4.011558
pow(1.890814, 1.092109) = 2.005076
pow(4.748269, -1.022402) = 0.203380
pow(-1.462924, -1.600518) = -nan
pow(-4.063844, -0.929732) = -nan
pow(0.134382, 1.190690) = 0.091648
pow(0.571223, 0.743914) = 0.659302
pow(4.671682, 0.445811) = 1.988195
pow(-1.123188, 0.504670) = -nan
pow(-0.162631, -1.265015) = -nan
pow(-3.882362, -2.502443) = -nan
pow(-4.795579, -1.756920) = -nan
pow(-3.225749, 1.425005) = -nan
pow(-4.339491, -2.307319) = -nan
pow(-1.477952, 1.448911) = -nan
pow(0.237396, 0.133233) = 0.825643
pow(4.851167, 1.418447) = 9.393689
pow(-2.446858, -2.425985) = -nan
pow(1.080436, -0.377337) = 0.971230
pow(-3.332944, -0.476076) = -nan
pow(-2.272029, -0.748776) = -nan
pow(-0.555083, -2.985527) = -nan
pow(-2.347096, -1.759590) = -nan
pow(-1.997974, -1.333789) = -nan
pow(-2.187742, -1.059208) = -nan
pow(-3.334888, -1.617754) = -nan
pow(-0.388765, -1.939686) = -nan
pow(2.055476, 2.563153) = 6.339311
pow(2.176951, 2.169271) = 5.406115
pow(-2.388239, -0.783802) = -nan
pow(2.935164, -1.075152) = 0.314213
pow(-2.456667, -1.620390) = -nan
pow(-0.390297, -0.218407) = -nan
pow(2.053028, 2.774624) = 7.358315
pow(1.467320, -0.453900) = 0.840262
pow(-0.827870, 2.817603) = -nan
pow(-2.787446, -0.286138) = -nan
pow(0.779309, -0.315734) = 1.081910
pow(-0.023133, -2.484899) = -nan
pow(-2.183392, 0.157132) = -nan
pow(-2.622169, 2.562113) = -nan
pow(2.734392, -2.933005) = 0.052322
pow(-0.574289, -1.346324) = -nan
pow(-3.596755, 2.085004) = -nan
pow(-3.292017, -1.169649) = -nan
pow(-1.633186, -0.046767) = -nan
pow(1.705874, 0.648838) = 1.414151
pow(1.678341, 2.629771) = 3.902864
pow(0.792389, -1.982231) = 1.586090
pow(-4.685321, 2.804785) = -nan
pow(-3.038838, 2.694467) = -nan
pow(-2.806148, -0.579646) = -nan
pow(-4.512405, 1.860053) = -nan
pow(3.480386, -0.214183) = 0.765584
pow(4.711404, 2.749838) = 70.966695
pow(-0.400566, -1.395669) = -nan
pow(-4.885657, 1.487209) = -nan
pow(2.801731, -2.329262) = 0.090746
pow(-1.709921, 2.358951) = -nan
pow(2.628397, 0.541059) = 1.686854
pow(4.886652, 2.226330) = 34.195318
pow(2.806327, 1.318212) = 3.897097
pow(-2.269257, 0.033040) = -nan
pow(-2.155224, 1.492284) = -nan
pow(-2.244732, -1.156986) = -nan
pow(4.141304, 1.360422) = 6.911409
pow(3.746934, 0.088564) = 1.124105
pow(-0.413279, 1.011152) = -nan
pow(-0.521028, -2.555347) = -nan
pow(1.566990, 1.225315) = 1.733874
pow(-2.743855, -0.898568) = -nan
pow(-0.457108, 1.776317) = -nan
pow(-4.336424, 0.835152) = -nan
pow(-3.393834, -1.775728) = -nan
pow(0.360379, 1.746800) = 0.168169
pow(-1.960090, -2.286934) = -nan
pow(1.228362, -0.378054) = 0.925188
pow(0.876679, 0.326884) = 0.957890
pow(-2.701096, -2.630361) = -nan
pow(2.723459, 1.953456) = 7.079285
pow(2.317655, 1.671612) = 4.075867
pow(-2.953691, 0.702949) = -nan
pow(0.394410, 0.151235) = 0.868747
pow(-0.619192, -0.205840) = -nan
pow(-4.485572, 1.250015) = -nan
pow(-1.925328, 1.891006) = -nan
pow(3.565691, 2.830328) = 36.538250
pow(0.882682, -0.795357) = 1.104346
pow(-0.642169, 0.612382) = -nan
pow(-1.108002, 1.491790) = -nan
pow(-1.233554, 2.533670) = -nan
pow(-4.929689, 1.242129) = -nan
pow(2.318694, -2.462176) = 0.126097
pow(2.016031, 2.202937) = 4.685850
pow(3.010635, -2.502057) = 0.063441
pow(-1.961982, -1.135029) = -nan
pow(2.129358, 1.092558) = 2.283655
pow(-1.605752, -0.498173) = -nan
pow(0.244677, -2.535003) = 35.474691
pow(2.711851, 2.927194) = 18.546126
pow(-1.184896, -0.490975) = -nan
pow(-1.505048, 1.494507) = -nan
pow(2.112858, -2.169641) = 0.197309
pow(1.451944, 1.238498) = 1.586992
pow(-0.305959, 2.867870) = -nan
pow(1.999816, -1.132314) = 0.456231
pow(-0.074949, -1.805778) = -nan
pow(0.526962, -2.876851) = 6.315372
pow(1.090605, 0.832634) = 1.074888
pow(1.115238, 0.922214) = 1.105816
pow(3.411385, -1.558063) = 0.147795
pow(-4.579557, -2.066609) = -nan
pow(-3.793272, 1.330600) = -nan
pow(4.599341, 2.655593) = 57.524123
pow(-3.260562, -0.634496) = -nan
pow(-0.298522, 2.737807) = -nan
pow(0.846836, 2.739646) = 0.634155
pow(0.873517, -1.967405) = 1.304799
pow(2.674157, -1.725556) = 0.183174
pow(-3.890684, -1.568229) = -nan
pow(-3.406218, -2.120559) = -nan
pow(-1.772029, -1.382995) = -nan
pow(1.060236, 2.232594) = 1.139498
pow(-2.440153, 2.807721) = -nan
pow(4.657115, -1.458087) = 0.106127
pow(1.845956, -0.189446) = 0.890360
pow(0.317694, -1.549580) = 5.911226
pow(2.450045, 0.099881) = 1.093632
pow(-3.133241, 1.170056) = -nan
pow(3.945489, 2.817248) = 47.792967
pow(-2.460217, 1.383088) = -nan
pow(0.206382, -1.445342) = 9.784383
pow(-4.372807, -0.618927) = -nan
pow(2.596321, 1.944882) = 6.395554
pow(4.116231, 2.815092) = 53.687498
pow(-2.080889, -1.760840) = -nan
pow(2.277834, 0.159745) = 1.140545
pow(-0.241628, -0.873462) = -nan
pow(4.467559, -1.026549) = 0.215115
pow(3.356613, -1.090757) = 0.266913
pow(1.681589, 0.287644) = 1.161253
pow(0.257453, -1.978413) = 14.651520
pow(2.795428, -0.079653) = 0.921381
pow(2.881240, -0.755301) = 0.449655
pow(0.131791, -0.942961) = 6.759504
pow(1.922098, 0.988003) = 1.907089
pow(-3.410744, -0.119920) = -nan
pow(-4.029711, -2.333924) = -nan
pow(-0.467253, 0.190284) = -nan
pow(0.282945, 1.820668) = 0.100399
pow(4.863005, -0.090469) = 0.866675
pow(3.921717, -2.718993) = 0.024341
pow(-1.588894, -1.974494) = -nan
pow(-1.010496, 2.587086) = -nan
pow(1.698557, -0.510544) = 0.763016
pow(-0.479208, 0.166739) = -nan
pow(4.837616, 0.368736) = 1.788333
pow(-0.741141, -2.167817) = -nan
pow(-1.427762, 2.734024) = -nan
pow(-1.270063, -1.984146) = -nan
pow(-2.911888, 1.934188) = -nan
pow(-3.189262, 2.922876) = -nan
pow(3.028060, 0.789836) = 2.399061
pow(1.770482, -1.625402) = 0.395140
pow(4.914552, -2.755562) = 0.012433
pow(2.572325, 1.503504) = 4.139297
pow(-0.570107, -1.922656) = -nan
pow(4.029792, -1.536111) = 0.117549
pow(4.541978, 0.717272) = 2.960897
pow(-3.555489, 0.474148) = -nan
pow(1.786343, -2.357535) = 0.254674
pow(-1.009270, 1.164349) = -nan
pow(-1.858437, -0.164432) = -nan
pow(-3.441222, -1.545290) = -nan
pow(0.398252, 0.517354) = 0.621070
pow(1.432147, -2.032720) = 0.481860
pow(0.787132, -1.266933) = 1.354257
pow(-2.783642, -1.244795) = -nan
pow(-3.737286, -2.872570) = -nan
pow(3.367874, 2.272971) = 15.800272
pow(4.921723, 0.814585) = 3.662591
pow(-2.703219, -0.532688) = -nan
pow(3.673673, -1.545929) = 0.133781
pow(-2.725105, -2.911330) = -nan
pow(-1.692737, -1.508985) = -nan
pow(-2.799312, -1.596784) = -nan
pow(-3.036381, -0.074198) = -nan
pow(-1.729489, 0.470185) = -nan
pow(-2.114628, -1.167179) = -nan
pow(1.213988, 2.708760) = 1.690896
pow(4.499511, -2.017478) = 0.048112
pow(2.814403, 0.111178) = 1.121920
pow(4.458797, -1.568648) = 0.095853
pow(-4.257699, 0.909499) = -nan
pow(0.486338, -0.590870) = 1.531013
pow(4.742947, -0.041508) = 0.937430
pow(-4.143119, 1.737125) = -nan
pow(1.412298, 2.787122) = 2.617356
pow(-2.179841, -0.342123) = -nan
pow(-0.320095, 2.758940) = -nan
pow(4.830012, -0.037841) = 0.942147
pow(-4.770631, -2.655152) = -nan
pow(0.892771, 0.029830) = 0.996622
pow(2.765167, 1.975362) = 7.456924
pow(0.871448, 1.375235) = 0.827595
pow(-1.161039, 1.039529) = -nan
pow(-3.329222, -2.278809) = -nan
pow(4.627249, 0.516675) = 2.206762
pow(2.910749, -0.932403) = 0.369284
pow(-1.312174, 0.983301) = -nan
pow(-2.687647, 0.973581) = -nan
pow(-2.559198, 2.616980) = -nan
pow(2.704912, 0.450118) = 1.565021
pow(-0.591803, 0.442629) = -nan
pow(-1.488344, 1.490781) = -nan
pow(0.304324, 2.289055) = 0.065664
pow(0.798969, 1.847639) = 0.660558
pow(4.988384, 1.670649) = 14.657028
pow(4.620251, 0.580930) = 2.432900
pow(3.419818, 1.531047) = 6.570274
pow(0.360071, 1.845909) = 0.151752
pow(-0.780887, 0.563941) = -nan
pow(-3.669029, -0.138050) = -nan
pow(4.552861, -1.332855) = 0.132618
pow(4.589671, 2.992841) = 95.632809
pow(2.453106, 2.594117) = 10.255810
pow(1.167071, 0.037362) = 1.005789
pow(4.827795, -2.206747) = 0.030984
pow(2.676947, 1.221397) = 3.329032
pow(-1.923204, -2.697985) = -nan
pow(3.077417, 1.307182) = 4.346589
pow(-1.266866, 2.142926) = -nan
pow(-2.172406, 2.567410) = -nan
pow(-1.698259, -2.361541) = -nan
pow(-3.716101, 0.954861) = -nan
pow(-4.447006, 0.962416) = -nan
pow(4.929576, -2.394699) = 0.021925
pow(-0.651376, -2.598196) = -nan
pow(1.822682, -0.090720) = 0.946996
pow(-2.677905, -2.028070) = -nan
pow(1.763349, 2.309572) = 3.706263
pow(3.813803, 0.543038) = 2.068710
pow(-4.193368, 2.729509) = -nan
pow(-4.448774, -0.190989) = -nan
pow(4.979224, 0.932403) = 4.467201
pow(-2.613305, -1.670932) = -nan
pow(-4.557495, -2.124588) = -nan
pow(-0.003488, 2.852308) = -nan
pow(-2.874288, 0.033461) = -nan
pow(4.740596, -0.601415) = 0.392233
pow(-4.399052, 2.267528) = -nan
pow(-1.481128, 2.193805) = -nan
pow(1.720072, -0.310712) = 0.844915
pow(-2.953518, -2.620446) = -nan
pow(-4.273693, 0.349645) = -nan
pow(0.112667, 2.293572) = 0.006687
pow(-2.539227, -0.662782) = -nan
pow(-0.506635, -2.267020) = -nan
pow(-1.937692, -0.661294) = -nan
pow(1.992268, 1.895447) = 3.693156
pow(-1.814332, 0.931701) = -nan
pow(0.933461, 2.681642) = 0.831398
pow(0.222696, 1.945645) = 0.053812
pow(-2.358505, 0.054462) = -nan
pow(3.124077, -2.855072) = 0.038684
pow(-2.845911, 2.036572) = -nan
pow(-3.350207, 2.272216) = -nan
pow(4.873615, 1.865303) = 19.188934
pow(1.722731, 0.172308) = 1.098253
pow(-1.021316, -1.698120) = -nan
pow(0.213892, -0.459700) = 2.031932
pow(-0.787016, -1.308367) = -nan
pow(-0.917671, -1.438372) = -nan
pow(2.417067, 0.116117) = 1.107915
pow(-4.760057, -1.781812) = -nan
pow(-3.320977, -0.681442) = -nan
pow(-3.619940, -2.585840) = -nan
pow(-0.882430, 2.383597) = -nan
pow(4.364228, -2.911192) = 0.013712
pow(-3.902990, -2.716420) = -nan
pow(0.065646, -1.291524) = 33.697740
pow(-4.856911, -0.601156) = -nan
pow(0.155293, -0.484959) = 2.467508
pow(-2.002832, -0.094986) = -nan
pow(4.104894, 2.286942) = 25.268872
pow(4.692202, 0.963904) = 4.437542
pow(-2.918051, 1.630243) = -nan
pow(-0.214295, -0.653774) = -nan
pow(-2.475446, -1.751300) = -nan
pow(0.101399, 2.116439) = 0.007877
pow(-3.126353, -0.601184) = -nan
pow(-2.402876, -2.106038) = -nan
pow(3.530913, -2.809878) = 0.028874
pow(4.404579, -2.741883) = 0.017159
pow(-2.422559, -1.576735) = -nan
pow(1.604054, 0.210052) = 1.104350
pow(-3.367396, -0.521173) = -nan
pow(-3.234220, 0.159500) = -nan
pow(-1.743014, 2.239000) = -nan
pow(1.285588, 1.309830) = 1.389648
pow(2.043577, -0.769962) = 0.576780
pow(4.060729, -0.671032) = 0.390488
pow(-4.660496, 0.830871) = -nan
pow(2.085915, -2.748995) = 0.132512
pow(4.860435, -1.947203) = 0.046015
pow(4.303016, -1.928446) = 0.059952
pow(-3.244319, -1.578469) = -nan
pow(0.917795, -1.590850) = 1.146214
pow(-0.133348, -1.031166) = -nan
pow(-1.216065, -2.382377) = -nan
pow(-0.354993, -2.246313) = -nan
pow(-2.050778, -0.795683) = -nan
pow(2.519284, 1.336981) = 3.439534
pow(1.835558, -2.884657) = 0.173428
pow(0.993112, -0.624502) = 1.004326
pow(-4.194695, 0.691456) = -nan
pow(4.783202, -2.699247) = 0.014631
pow(-2.717592, -2.715888) = -nan
pow(2.787522, 0.543820) = 1.746299
pow(-1.948458, 0.943145) = -nan
pow(2.985717, -0.483598) = 0.589206
pow(0.895241, -2.165598) = 1.270804
pow(-0.820839, 1.602013) = -nan
pow(-1.912914, -1.770257) = -nan
pow(-0.971629, 0.212619) = -nan
pow(1.212015, -2.505864) = 0.617647
pow(4.228060, 1.537495) = 9.176757
pow(1.886739, 0.351124) = 1.249709
pow(-1.906793, -1.532971) = -nan
pow(-4.108951, -2.389517) = -nan
pow(-1.351509, -0.549712) = -nan
pow(-0.557443, 1.518934) = -nan
pow(3.980142, -2.877826) = 0.018776
pow(-3.396540, 0.585367) = -nan
pow(4.079875, 1.208826) = 5.472248
pow(-0.199010, 2.683146) = -nan
pow(-2.695926, -1.041267) = -nan
pow(-1.298352, 0.496522) = -nan
pow(1.794020, 0.564058) = 1.390508
pow(3.296698, -2.891480) = 0.031768
pow(0.740477, -1.949453) = 1.796310
pow(-2.256989, -1.529829) = -nan
pow(-2.827296, -2.281867) = -nan
pow(-1.707075, -0.911196) = -nan
pow(-0.156125, 1.790326) = -nan
pow(0.544547, -2.259157) = 3.947643
pow(2.303077, -2.907567) = 0.088423
pow(3.436188, 1.290147) = 4.916071
pow(-0.972955, -2.785231) = -nan
pow(4.859563, -1.241261) = 0.140525
pow(0.590620, 1.518676) = 0.449460
pow(-2.924294, -0.652422) = -nan
pow(-1.320290, 2.803868) = -nan
pow(-4.702046, 2.522395) = -nan
pow(-2.627040, 0.562200) = -nan
pow(3.268144, -2.904434) = 0.032081
pow(0.149706, 0.236858) = 0.637748
pow(-1.901327, -1.023922) = -nan
pow(-4.363599, 1.179475) = -nan
pow(4.356013, 1.783752) = 13.803096
pow(-0.795909, -2.470963) = -nan
pow(3.757959, 1.681461) = 9.263169
pow(-0.251589, -2.607422) = -nan
pow(-4.634009, -0.517493) = -nan
pow(1.278498, -1.091599) = 0.764762
pow(0.111175, 1.983840) = 0.012806
pow(0.816266, 1.347778) = 0.760621
pow(-3.432102, -0.019786) = -nan
pow(-4.822444, 2.681123) = -nan
pow(4.646677, -0.789364) = 0.297428
pow(0.206997, 2.131677) = 0.034822
pow(-3.910186, 2.443131) = -nan
pow(-2.046479, 2.844509) = -nan
pow(1.544998, 2.001410) = 2.388483
pow(-3.878422, -2.997021) = -nan
pow(-1.691644, -0.845818) = -nan
pow(2.710728, 0.844230) = 2.320728
pow(-1.466495, -2.595024) = -nan
pow(-4.536304, -1.906776) = -nan
pow(-4.378816, -0.918539) = -nan
pow(4.602704, 2.586651) = 51.878047
pow(-0.814667, 2.089434) = -nan
pow(4.687239, -0.818649) = 0.282328
pow(-1.228506, 2.809292) = -nan
pow(2.410236, -0.692445) = 0.543807
pow(-3.542596, -2.579261) = -nan
pow(2.318790, -2.692016) = 0.103923
pow(-2.630571, -0.897539) = -nan
pow(2.341625, -0.859544) = 0.481264
pow(3.810190, 1.385550) = 6.381614
pow(-3.317840, -0.075815) = -nan
pow(4.133089, -1.991393) = 0.059259
pow(3.400067, 1.564437) = 6.783889
pow(4.482702, -0.259919) = 0.677099
pow(-4.588180, -2.171132) = -nan
pow(0.083216, -0.928037) = 10.048167
pow(-0.275806, 1.801169) = -nan
pow(-0.385670, 1.617692) = -nan
pow(-2.603643, -0.572794) = -nan
